year,chair_in_charge,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
1991,CHAIRMAN GREENSPAN,0.052176887172058595,0.04736520199581523,0.03215515853854821,0.03503058103975535,0.03196684371479157,0.03150329953323676,0.03574521165298567,0.02962739417350716,0.036631257041686786,0.03355303396104942,0.038958635119909865,0.030914212135844193,0.03518509576694028,0.020399967809431836,0.0498229518751006,0.02706582971189441,0.03807983260904555,0.02429180750040238,0.046860614839851926,0.02838886206341542,0.03343473362304844,0.03498470948012233,0.035535168195718655,0.029120392724931596,0.02725655882826332,0.021505713825849027,0.037539031063898276,0.021696442942217925,0.023355061966843713,0.029849509093835505
1992,CHAIRMAN GREENSPAN,0.03658084608663792,0.020904850483357287,0.027950170513796113,0.019528761872551505,0.037462303768213974,0.039679687720188275,0.031829007074208736,0.03365533665905696,0.03384135170936557,0.03783644767622108,0.035798737352385784,0.03262379865280009,0.02169964206194865,0.03917871536878893,0.029453087567994134,0.04486274344015107,0.03047828415208139,0.036544911361010124,0.02710041994306812,0.02413052056029988,0.024720272822073786,0.03520898509061188,0.02427003184803134,0.06399692793326006,0.021925819452664804,0.027256841689918546,0.024584989149122063,0.04236210929793411,0.045961923282883795,0.04857247540937404
1993,CHAIRMAN GREENSPAN,0.0372509889249307,0.03999250241391125,0.02900809383329106,0.03480815523785369,0.0405281237346433,0.024023978926666044,0.030010923782699043,0.023248078882614945,0.03421246423629188,0.0267538121999297,0.03800019133305746,0.03680547212544329,0.0383105513506779,0.05162933447243247,0.033174593639733206,0.037416180547212546,0.03792510423202025,0.033174593639733206,0.021669581158588407,0.04674867290501426,0.03961706690872523,0.02446949572615345,0.033119529765639255,0.02956707558545691,0.028966378777159286,0.018787905081005075,0.028225519380258877,0.052972559279875764,0.028258891425164304,0.021324180493817273
1994,CHAIRMAN GREENSPAN,0.04228797623752889,0.02823215718683003,0.044848071095780484,0.015389014647934556,0.018265752817601476,0.03675233253087085,0.04275732696154169,0.057109578048459154,0.025191483118345247,0.04577329836034159,0.027246296096678762,0.030781023558861222,0.033954193764746746,0.03925853065526451,0.033017738013965243,0.05401051585162828,0.027713401123447473,0.006437665433030313,0.03120321464074833,0.044910950618614734,0.02979965386319811,0.03619764531158301,0.03587426490843544,0.02868803372737834,0.03134918496161355,0.02264037104906998,0.050224270298108824,0.03686237169583079,0.026226749547866284,0.01699693387469608
1995,CHAIRMAN GREENSPAN,0.02320555830125853,0.03436684089400089,0.03731535147494172,0.025418345289621738,0.02803175530295088,0.02443176428888789,0.0462582308686905,0.045904409598977604,0.03593937987050267,0.026610854013468924,0.04035559349617848,0.03398306650092606,0.048334356731714864,0.024482310184561158,0.031360296136546305,0.023100722369491743,0.02280680734650272,0.03943827909321911,0.04152750944771433,0.05307631057395176,0.022245186283466372,0.032667001143210875,0.04000738843709595,0.04473810985807212,0.025137534758103566,0.03144453929600176,0.02836685587056257,0.02973721126437126,0.02736717037835787,0.032341260926649795
1996,CHAIRMAN GREENSPAN,0.04244637622485624,0.06053245166175599,0.03375055291903766,0.05335481283222,0.026218671045035724,0.0300197551412099,0.03424818005293028,0.05827766656920297,0.020975311696393092,0.024250654131336077,0.037658472219098384,0.025268400020992177,0.04135553256411986,0.02939842408702758,0.025248719851855186,0.037149599274270334,0.030978460523455015,0.0172923086150409,0.03899672372041415,0.03589287990223641,0.04455777722798257,0.028571856983273726,0.023514053515065636,0.028712429619966562,0.030275597339990856,0.04108282164893577,0.0308688138668346,0.02602749225913347,0.024886042449187677,0.018189162037141167
1997,CHAIRMAN GREENSPAN,0.03715244885409914,0.0447557793621512,0.02262510179322265,0.02337608648684582,0.030702082398497612,0.027885110767645542,0.031608873045154647,0.015922329693706272,0.027894459124827572,0.03583744661049343,0.0387354373369231,0.03651364444666035,0.02360044705921457,0.03384936264978146,0.035550763656911136,0.036996642901065295,0.04997839490784597,0.022353999434943744,0.02650778614282628,0.045160874840039215,0.03588730451546426,0.02349761513021223,0.03391480115005568,0.028296438483654915,0.04918378454737332,0.06999011151551413,0.020266199664290108,0.033687324458626246,0.015950374765252365,0.04231897425670173
1998,CHAIRMAN GREENSPAN,0.045607985540801727,0.027308062718091806,0.021465346077480723,0.036796911589126576,0.019911905751357196,0.03276736653935712,0.028413775816463167,0.032772313801542226,0.02255621738929676,0.04217953284652273,0.03299988786205713,0.03754147454798514,0.04110350332126202,0.035782722841179684,0.04617444706099644,0.0349120046966009,0.030578203022447376,0.034271334243629575,0.048294348907314696,0.03756621085891068,0.039151808389237396,0.030108213114862233,0.03599298148404673,0.021737445497661594,0.022177751832136095,0.04641686290806668,0.02576699054743105,0.027899260549212063,0.029625855051814327,0.032119275193108136
1999,CHAIRMAN GREENSPAN,0.03519685193907992,0.05459157638561784,0.0293737242895274,0.012902339456743604,0.028263856178363946,0.021757732768095464,0.029765269273041295,0.02672122782226409,0.03489951326738892,0.03959510912231119,0.034540351703564134,0.06666764798241483,0.04280401161877846,0.024890092636206625,0.0284552127492542,0.011651161877845815,0.03023630083215575,0.054052834039880676,0.024704623959805303,0.0328681896687078,0.031696498665410584,0.0305807426597582,0.03223818495839221,0.047169885382320614,0.03665116187784581,0.02918236771863715,0.044013973936253725,0.032432485476526926,0.021825443554718167,0.03027162819908934
2000,CHAIRMAN GREENSPAN,0.04226644258794684,0.025746726096240184,0.032807032499533165,0.0359216049232368,0.020991142395531414,0.04398052301272215,0.03559888285391853,0.021667032012405517,0.025506206818163363,0.0372946959917513,0.024869896322998106,0.046318735741367696,0.03357121400329623,0.035461878201849456,0.03538880905407929,0.03201545006535629,0.03415272263763386,0.03173230711774687,0.03531573990630911,0.043621266369518796,0.027180708121229833,0.03896615274699402,0.03438715282006316,0.024565441540622384,0.026483506669589433,0.014055662453012478,0.05400621899635466,0.04418146316909013,0.042890574891817065,0.019054809979621827
2001,CHAIRMAN GREENSPAN,0.020870594036815418,0.027928047281532677,0.03735638528855425,0.03180040039155939,0.016976160509910427,0.037234942995723753,0.027257354618855204,0.03826168238056334,0.02941571536870616,0.028571139423112308,0.03493029948405425,0.04910040701568446,0.031830760964767016,0.037110740650783486,0.029534397609426867,0.027188353316110605,0.024773307720049754,0.05134984948515828,0.04018819875319246,0.021262521436404717,0.041253578867569016,0.03414092458065608,0.0342402864566083,0.05922151810226177,0.03710798059867371,0.03441140968741489,0.020133660123503132,0.023536804374866594,0.026893027740363736,0.04611955073711792
2002,CHAIRMAN GREENSPAN,0.02203599723387303,0.030354109352215157,0.03211300530675446,0.021283392714863424,0.010825854267201854,0.04200961379455494,0.027357784993761177,0.024409379275094335,0.0474413325516018,0.010095799696327365,0.0481967558141283,0.05102395556156887,0.03764619883040936,0.06689630030517597,0.034979667463431494,0.022055728438491257,0.040146424329890705,0.01606871720861709,0.01967107142320239,0.03939663855439799,0.0335533832438852,0.0247814534193238,0.023067657361054737,0.03231595483997053,0.023628587320915828,0.03171838121438987,0.029359092890753016,0.07650539695425368,0.04292570543754416,0.0381366602023482
2003,CHAIRMAN GREENSPAN,0.01819708941112912,0.039092044840626686,0.02881803754727174,0.03441214208535926,0.029266274986493784,0.04958890464613722,0.03294840626688276,0.03164168017287952,0.02791396542409508,0.04124966234467855,0.02882816720691518,0.028939593462992977,0.049274885197190706,0.04208282685035116,0.014879625877903837,0.037529544840626684,0.03746370205294436,0.03487050918422474,0.04310592247433819,0.03490089816315505,0.03283698001080497,0.03845894111291194,0.022469273365748242,0.03309022150189087,0.018918827660723933,0.032847109670448404,0.03982391274986494,0.03895782685035116,0.02080041193949217,0.036792612101566716
2004,CHAIRMAN GREENSPAN,0.02159151962447687,0.04878283706594277,0.0194972288202692,0.019855113957697092,0.025568021151453454,0.01795699722882027,0.034888940730686574,0.04454653743920371,0.029014322474833164,0.031100660275986878,0.029544522678430045,0.04269613872865061,0.04600723900011311,0.04767736964144327,0.051510717113448706,0.028181908155186064,0.03672078243411378,0.03419968046601063,0.029390764619386944,0.044946838592919355,0.02947824765298043,0.04441928939034046,0.03621709224069675,0.03049358104286845,0.03967664856916638,0.03543504694039136,0.025904698280737472,0.025530907137201672,0.014290662820947856,0.03487568572559665
2005,CHAIRMAN GREENSPAN,0.027419361105283195,0.010028867597578697,0.028995811672921958,0.03345125144726515,0.031044323223846267,0.026521862445703273,0.047039031478502774,0.01974108523517573,0.021107730921354255,0.02040838131648678,0.03553764443511978,0.05904744698541468,0.04113535523074652,0.02095037726025907,0.030403252752717748,0.044063881701129064,0.04856885873915037,0.036306929000474,0.03203506849740852,0.02639364835147757,0.039287906691221605,0.03507141136520813,0.044419384416936686,0.04299445959701922,0.04335870418288769,0.01715931961053998,0.0345876945551748,0.020323876572565295,0.035805728450318985,0.04679134516011221
2006,CHAIRMAN BERNANKE,0.011330342227936226,0.04179566901931974,0.02657120492570339,0.03323887737342464,0.028801415090214184,0.03646612267030497,0.04213020054399636,0.05789581857458959,0.04312723567636589,0.03244518493252521,0.021323651597442695,0.03671210173256719,0.02001176326537752,0.0403657107373687,0.02984764603503616,0.02361617645772659,0.017906182492412912,0.04909304786643228,0.0339768145602113,0.049808027007407794,0.035570758883670485,0.028876848669307936,0.02277328820437471,0.016889469035062405,0.013977076937877714,0.048276397379721704,0.04858797085858718,0.024632889915077096,0.035459248375444945,0.048492858954512455
2006,CHAIRMAN GREENSPAN,0.06942314246762099,0.01941675187457396,0.060220688479890934,0.027756475800954326,0.04606552488070893,0.034754175187457395,0.03973883776414451,0.046033571915473755,0.047631220177232446,0.01849011588275392,0.01507114860259032,0.03510565780504431,0.023602590320381735,0.046353101567825496,0.02136588275391956,0.014080606680299933,0.06370356169052488,0.037566036128152694,0.01682856169052488,0.019544563735514654,0.022228612815269257,0.03414706884798909,0.02801209952283572,0.025360003408316296,0.009255708929788685,0.026893745739604638,0.029641700749829584,0.04740754942058623,0.029801465576005458,0.04449982958418541
2007,CHAIRMAN BERNANKE,0.023379928646121668,0.03561696499969244,0.027119087162453096,0.0315733222611798,0.04217952266715876,0.03550624346435381,0.017541674355662177,0.030030140862397737,0.030749830842098785,0.012217813864796702,0.01625453650735068,0.035194839146213935,0.03518099895429661,0.031070461954850217,0.02422187365442579,0.02805560681552562,0.04624853909085318,0.03265747062803715,0.03004628775296795,0.03904933259518977,0.03530786738020545,0.040677861844128686,0.03772067417112629,0.03874715507166143,0.04668911853355478,0.02504075167620102,0.0615096573783601,0.017082641323737466,0.05083886941010027,0.04249092698529864
2008,CHAIRMAN BERNANKE,0.03302140730888593,0.025650049804524438,0.04500472135376182,0.03436872045555306,0.02564141318178939,0.04257351205384646,0.03070679241589369,0.03025336972230379,0.02859945646854254,0.05480728815803868,0.039205229187178656,0.03409450768371536,0.030849296691021943,0.042249638701282254,0.04892790723115634,0.026448937407516162,0.029076629874653814,0.0439877590267102,0.025902671019524523,0.03014973024948324,0.024978552386874638,0.030812591044397996,0.040446743705341466,0.01981817030268484,0.02155413147242902,0.0322678619752532,0.02873764243230327,0.028390018367217683,0.047153081259104446,0.02432216905901116
2009,CHAIRMAN BERNANKE,0.026160136099220722,0.02751179892437713,0.01687794973109428,0.046384041268795966,0.029224014927011304,0.03498463395895072,0.027595763362967842,0.03208868400834157,0.03768466688618154,0.034589507189112065,0.03642849303040281,0.035412687959609265,0.040555921413675776,0.02224838107781802,0.04135276039951707,0.019762375150916472,0.032822961255625074,0.02257436066293491,0.042408078147294484,0.030679398529250355,0.021385687630336957,0.03343376138733399,0.033534189441334655,0.0611667215453847,0.038158819009987924,0.0344610909889145,0.013409065964219076,0.04599549994512128,0.039996158489737685,0.04111239161453189
2010,CHAIRMAN BERNANKE,0.02934589963593553,0.038645859326512724,0.03831954495140475,0.02139678548348913,0.039850343269925974,0.06518529537849269,0.03997271116059146,0.027136079492741102,0.03844431221247545,0.03062716343231536,0.04309909079857445,0.030917487251345244,0.020187502799265473,0.03289936720604513,0.042705594052120724,0.022642058723790874,0.029765789456846523,0.03769330927564607,0.03430779763390086,0.027416805830150166,0.03115982366227102,0.03615051410509882,0.036104926067399915,0.0313637701467135,0.01581824929138594,0.035435501724347535,0.02064338317625455,0.03801002616913322,0.03807001042926336,0.026684997856562434
2011,CHAIRMAN BERNANKE,0.018591557908345997,0.025855762007093313,0.02677136292957353,0.03607150968778937,0.03589952740360257,0.028818771074654508,0.023914819085556545,0.0340797910442546,0.029575493125076437,0.042012269161556336,0.03461539301500778,0.04356829935181788,0.030556611108199246,0.0380419352866153,0.03248281269109143,0.045388035711165856,0.04236442336251026,0.03398479130632283,0.023371027482223035,0.031208505861593024,0.03405686007302969,0.05586421370791621,0.029668854936492135,0.01736966472736167,0.03697728305117319,0.03444996243688523,0.04708492758180897,0.02704981043730454,0.022383357793035973,0.03792236665094258
2012,CHAIRMAN BERNANKE,0.028163102929720858,0.03232305244171176,0.02915193058315317,0.038257580491299986,0.020783605560346086,0.048155229799589264,0.03523642301620032,0.047175774920123134,0.037435900640264606,0.023828194970361205,0.02648693851876846,0.02909569393935607,0.050534352258005386,0.024368691602411095,0.03060158628992281,0.028280262604298147,0.043104866760810975,0.02798033383738029,0.03136390523917237,0.045604273151793114,0.03900740240859463,0.03203562070674882,0.023815697938406294,0.03586596100092895,0.02787410906576355,0.03380238859937432,0.05059058890180249,0.027855363517831182,0.0339586014988107,0.01726256680704999
2013,CHAIRMAN BERNANKE,0.0698505842861109,0.025574821433078414,0.03127634335327226,0.03969801367961434,0.03804169506070013,0.013634183892380303,0.024037757754726028,0.01679160041392191,0.01460525983695515,0.03641377047525302,0.02777251962343202,0.03971126422856566,0.02749993690214785,0.03774071830594887,0.038280204941823784,0.04266802958027309,0.0384997854673027,0.02775169733222281,0.04958481613285884,0.04060094394386815,0.04079591630700891,0.0382499179727922,0.021970672118321093,0.028187072512051686,0.0258606547033139,0.029349334948638346,0.03637780469952803,0.03451894197521517,0.029387193659927816,0.03526854445874662
2014,CHAIR YELLEN,0.030310315545582868,0.020480797889989258,0.04237525236335825,0.020394333563904868,0.03369718646488845,0.025204702534599787,0.01642751899403326,0.0316578937008981,0.01672908969232759,0.039357436494412854,0.02918417042048375,0.061956258892469314,0.04325887559822067,0.0440201834449637,0.04329050888825153,0.027503388276843302,0.02602084141739634,0.03703977077815082,0.05078127196756252,0.041795308712792224,0.022872274616323338,0.03573015257087263,0.03967587828072366,0.023228676350671187,0.03494775586410901,0.03135843188860583,0.04475196688767792,0.02757087262890917,0.027868225555199386,0.030510659715778404
2014,CHAIRMAN BERNANKE,0.05567334446299388,0.035998887033945465,0.02743461324429605,0.026199220923761826,0.025481357818586535,0.03134112409571508,0.04459654980523094,0.06542292710072342,0.03399554813578186,0.014855314412910405,0.02441291040623261,0.03803561491374513,0.01873678352810239,0.013027267668336114,0.006825264329437952,0.05526432943795214,0.030656649972175848,0.019354479688369505,0.03205063995548136,0.026324429604897052,0.030673344462993878,0.0289621591541458,0.030831942125765167,0.06026432943795214,0.05907902058987201,0.019988870339454647,0.03914579855314413,0.016624930439621592,0.024479688369504725,0.06426265998887033
2015,CHAIR YELLEN,0.034177433272712554,0.03195635797459456,0.03360652176917897,0.030774548947824658,0.032349183594081676,0.035921453141321454,0.0364914390425471,0.034474551613559314,0.03239898099824851,0.02965290407107046,0.03340085293635608,0.03286159703175383,0.03327237933601486,0.03330903318740904,0.0352341008674498,0.03175883444208148,0.02695292213882751,0.03777339823903544,0.031844545215796154,0.030868219901387564,0.029998153731929773,0.031454681523694426,0.03664157173689397,0.03235918009900736,0.031270856905338776,0.0366047327650382,0.031153490532692764,0.04020088285182267,0.03495604993414648,0.03628114219818454
